customer_id,legal_name,mock_tax_id,industry_code,industry_version,incorporation_date,legal_address,representative_party_id,related_party_ids,as_of_date,synthetic_flag
CUS-00012,CONG TY TNHH MOCK HOA CHAT 012,MOCK-TAX-0718-00012,C201,VSIC-2025,2013-01-13,"So 112 Duong Mock 13, Ha Noi",PTY-00120,['PTY-00121'],2026-06-30,True
CUS-00013,CONG TY TNHH MOCK SAN XUAT THUC PHAM 013,MOCK-TAX-0718-00013,C101,VSIC-2025,2014-02-14,"So 113 Duong Mock 14, Ha Noi",PTY-00130,['PTY-00131'],2026-06-30,True
CUS-00014,CONG TY TNHH MOCK MAY MAC 014,MOCK-TAX-0718-00014,C141,VSIC-2025,2015-03-15,"So 114 Duong Mock 15, Ha Noi",PTY-00140,['PTY-00141'],2026-06-30,True
CUS-00015,CONG TY TNHH MOCK CHE BIEN GO 015,MOCK-TAX-0718-00015,C162,VSIC-2025,2016-04-16,"So 115 Duong Mock 16, Ha Noi",PTY-00150,['PTY-00151'],2026-06-30,True
CUS-00016,CONG TY TNHH MOCK XAY DUNG 016,MOCK-TAX-0718-00016,F410,VSIC-2025,2017-05-17,"So 116 Duong Mock 17, Ha Noi",PTY-00160,['PTY-00161'],2026-06-30,True
CUS-00017,CONG TY TNHH MOCK BAN BUON 017,MOCK-TAX-0718-00017,G461,VSIC-2025,2018-06-18,"So 117 Duong Mock 18, Ha Noi",PTY-00170,['PTY-00171'],2026-06-30,True
CUS-00018,CONG TY TNHH MOCK BAN LE 018,MOCK-TAX-0718-00018,G471,VSIC-2025,2019-07-19,"So 118 Duong Mock 19, Ha Noi",PTY-00180,['PTY-00181'],2026-06-30,True
CUS-00019,CONG TY TNHH MOCK VAN TAI 019,MOCK-TAX-0718-00019,H493,VSIC-2025,2020-08-20,"So 119 Duong Mock 20, Ha Noi",PTY-00190,['PTY-00191'],2026-06-30,True
CUS-00020,CONG TY TNHH MOCK LUU TRU 020,MOCK-TAX-0718-00020,I551,VSIC-2025,2021-09-21,"So 120 Duong Mock 1, Ha Noi",PTY-00200,['PTY-00201'],2026-06-30,True
CUS-00021,CONG TY TNHH MOCK LAP TRINH 021,MOCK-TAX-0718-00021,J620,VSIC-2025,2022-10-22,"So 121 Duong Mock 2, Ha Noi",PTY-00210,['PTY-00211'],2026-06-30,True
CUS-00022,CONG TY TNHH MOCK TU VAN 022,MOCK-TAX-0718-00022,M702,VSIC-2025,2012-11-23,"So 122 Duong Mock 3, Ha Noi",PTY-00220,['PTY-00221'],2026-06-30,True
CUS-00023,CONG TY TNHH MOCK CUNG UNG LAO DONG 023,MOCK-TAX-0718-00023,N782,VSIC-2025,2013-12-24,"So 123 Duong Mock 4, Ha Noi",PTY-00230,['PTY-00231'],2026-06-30,True
CUS-00024,CONG TY TNHH MOCK HOA CHAT 024,MOCK-TAX-0718-00024,C201,VSIC-2025,2014-01-25,"So 124 Duong Mock 5, Ha Noi",PTY-00240,['PTY-00241'],2026-06-30,True
CUS-00025,CONG TY TNHH MOCK SAN XUAT THUC PHAM 025,MOCK-TAX-0718-00025,C101,VSIC-2025,2015-02-26,"So 125 Duong Mock 6, Ha Noi",PTY-00250,['PTY-00251'],2026-06-30,True
CUS-00026,CONG TY TNHH MOCK MAY MAC 026,MOCK-TAX-0718-00026,C141,VSIC-2025,2016-03-27,"So 126 Duong Mock 7, Ha Noi",PTY-00260,['PTY-00261'],2026-06-30,True
CUS-00027,CONG TY TNHH MOCK CHE BIEN GO 027,MOCK-TAX-0718-00027,C162,VSIC-2025,2017-04-01,"So 127 Duong Mock 8, Ha Noi",PTY-00270,['PTY-00271'],2026-06-30,True
CUS-00028,CONG TY TNHH MOCK XAY DUNG 028,MOCK-TAX-0718-00028,F410,VSIC-2025,2018-05-02,"So 128 Duong Mock 9, Ha Noi",PTY-00280,['PTY-00281'],2026-06-30,True
CUS-00029,CONG TY TNHH MOCK BAN BUON 029,MOCK-TAX-0718-00029,G461,VSIC-2025,2019-06-03,"So 129 Duong Mock 10, Ha Noi",PTY-00290,['PTY-00291'],2026-06-30,True
CUS-00030,CONG TY TNHH MOCK BAN LE 030,MOCK-TAX-0718-00030,G471,VSIC-2025,2020-07-04,"So 130 Duong Mock 11, Ha Noi",PTY-00300,['PTY-00301'],2026-06-30,True
CUS-00031,CONG TY TNHH MOCK VAN TAI 031,MOCK-TAX-0718-00031,H493,VSIC-2025,2021-08-05,"So 131 Duong Mock 12, Ha Noi",PTY-00310,['PTY-00311'],2026-06-30,True
CUS-00032,CONG TY TNHH MOCK LUU TRU 032,MOCK-TAX-0718-00032,I551,VSIC-2025,2022-09-06,"So 132 Duong Mock 13, Ha Noi",PTY-00320,['PTY-00321'],2026-06-30,True
CUS-00033,CONG TY TNHH MOCK LAP TRINH 033,MOCK-TAX-0718-00033,J620,VSIC-2025,2012-10-07,"So 133 Duong Mock 14, Ha Noi",PTY-00330,['PTY-00331'],2026-06-30,True
CUS-00034,CONG TY TNHH MOCK TU VAN 034,MOCK-TAX-0718-00034,M702,VSIC-2025,2013-11-08,"So 134 Duong Mock 15, Ha Noi",PTY-00340,['PTY-00341'],2026-06-30,True
CUS-00035,CONG TY TNHH MOCK CUNG UNG LAO DONG 035,MOCK-TAX-0718-00035,N782,VSIC-2025,2014-12-09,"So 135 Duong Mock 16, Ha Noi",PTY-00350,['PTY-00351'],2026-06-30,True
CUS-00036,CONG TY TNHH MOCK HOA CHAT 036,MOCK-TAX-0718-00036,C201,VSIC-2025,2015-01-10,"So 136 Duong Mock 17, Ha Noi",PTY-00360,['PTY-00361'],2026-06-30,True
CUS-00037,CONG TY TNHH MOCK SAN XUAT THUC PHAM 037,MOCK-TAX-0718-00037,C101,VSIC-2025,2016-02-11,"So 137 Duong Mock 18, Ha Noi",PTY-00370,['PTY-00371'],2026-06-30,True
CUS-00038,CONG TY TNHH MOCK MAY MAC 038,MOCK-TAX-0718-00038,C141,VSIC-2025,2017-03-12,"So 138 Duong Mock 19, Ha Noi",PTY-00380,['PTY-00381'],2026-06-30,True
CUS-00039,CONG TY TNHH MOCK CHE BIEN GO 039,MOCK-TAX-0718-00039,C162,VSIC-2025,2018-04-13,"So 139 Duong Mock 20, Ha Noi",PTY-00390,['PTY-00391'],2026-06-30,True
CUS-00040,CONG TY TNHH MOCK XAY DUNG 040,MOCK-TAX-0718-00040,F410,VSIC-2025,2019-05-14,"So 140 Duong Mock 1, Ha Noi",PTY-00400,['PTY-00401'],2026-06-30,True
CUS-00041,CONG TY TNHH MOCK BAN BUON 041,MOCK-TAX-0718-00041,G461,VSIC-2025,2020-06-15,"So 141 Duong Mock 2, Ha Noi",PTY-00410,['PTY-00411'],2026-06-30,True
CUS-00042,CONG TY TNHH MOCK BAN LE 042,MOCK-TAX-0718-00042,G471,VSIC-2025,2021-07-16,"So 142 Duong Mock 3, Ha Noi",PTY-00420,['PTY-00421'],2026-06-30,True
CUS-00043,CONG TY TNHH MOCK VAN TAI 043,MOCK-TAX-0718-00043,H493,VSIC-2025,2022-08-17,"So 143 Duong Mock 4, Ha Noi",PTY-00430,['PTY-00431'],2026-06-30,True
CUS-00044,CONG TY TNHH MOCK LUU TRU 044,MOCK-TAX-0718-00044,I551,VSIC-2025,2012-09-18,"So 144 Duong Mock 5, Ha Noi",PTY-00440,['PTY-00441'],2026-06-30,True
CUS-00045,CONG TY TNHH MOCK LAP TRINH 045,MOCK-TAX-0718-00045,J620,VSIC-2025,2013-10-19,"So 145 Duong Mock 6, Ha Noi",PTY-00450,['PTY-00451'],2026-06-30,True
CUS-00046,CONG TY TNHH MOCK TU VAN 046,MOCK-TAX-0718-00046,M702,VSIC-2025,2014-11-20,"So 146 Duong Mock 7, Ha Noi",PTY-00460,['PTY-00461'],2026-06-30,True
CUS-00047,CONG TY TNHH MOCK CUNG UNG LAO DONG 047,MOCK-TAX-0718-00047,N782,VSIC-2025,2015-12-21,"So 147 Duong Mock 8, Ha Noi",PTY-00470,['PTY-00471'],2026-06-30,True
CUS-00048,CONG TY TNHH MOCK HOA CHAT 048,MOCK-TAX-0718-00048,C201,VSIC-2025,2016-01-22,"So 148 Duong Mock 9, Ha Noi",PTY-00480,['PTY-00481'],2026-06-30,True
CUS-00049,CONG TY TNHH MOCK SAN XUAT THUC PHAM 049,MOCK-TAX-0718-00049,C101,VSIC-2025,2017-02-23,"So 149 Duong Mock 10, Ha Noi",PTY-00490,['PTY-00491'],2026-06-30,True
CUS-00050,CONG TY TNHH MOCK MAY MAC 050,MOCK-TAX-0718-00050,C141,VSIC-2025,2018-03-24,"So 150 Duong Mock 11, Ha Noi",PTY-00500,['PTY-00501'],2026-06-30,True
CUS-00051,CONG TY TNHH MOCK CHE BIEN GO 051,MOCK-TAX-0718-00051,C162,VSIC-2025,2019-04-25,"So 151 Duong Mock 12, Ha Noi",PTY-00510,['PTY-00511'],2026-06-30,True
CUS-00052,CONG TY TNHH MOCK XAY DUNG 052,MOCK-TAX-0718-00052,F410,VSIC-2025,2020-05-26,"So 152 Duong Mock 13, Ha Noi",PTY-00520,['PTY-00521'],2026-06-30,True
CUS-00053,CONG TY TNHH MOCK BAN BUON 053,MOCK-TAX-0718-00053,G461,VSIC-2025,2021-06-27,"So 153 Duong Mock 14, Ha Noi",PTY-00530,['PTY-00531'],2026-06-30,True
CUS-00054,CONG TY TNHH MOCK BAN LE 054,MOCK-TAX-0718-00054,G471,VSIC-2025,2022-07-01,"So 154 Duong Mock 15, Ha Noi",PTY-00540,['PTY-00541'],2026-06-30,True
CUS-00055,CONG TY TNHH MOCK VAN TAI 055,MOCK-TAX-0718-00055,H493,VSIC-2025,2012-08-02,"So 155 Duong Mock 16, Ha Noi",PTY-00550,['PTY-00551'],2026-06-30,True
CUS-00056,CONG TY TNHH MOCK LUU TRU 056,MOCK-TAX-0718-00056,I551,VSIC-2025,2013-09-03,"So 156 Duong Mock 17, Ha Noi",PTY-00560,['PTY-00561'],2026-06-30,True
CUS-00057,CONG TY TNHH MOCK LAP TRINH 057,MOCK-TAX-0718-00057,J620,VSIC-2025,2014-10-04,"So 157 Duong Mock 18, Ha Noi",PTY-00570,['PTY-00571'],2026-06-30,True
CUS-00058,CONG TY TNHH MOCK TU VAN 058,MOCK-TAX-0718-00058,M702,VSIC-2025,2015-11-05,"So 158 Duong Mock 19, Ha Noi",PTY-00580,['PTY-00581'],2026-06-30,True
CUS-00059,CONG TY TNHH MOCK CUNG UNG LAO DONG 059,MOCK-TAX-0718-00059,N782,VSIC-2025,2016-12-06,"So 159 Duong Mock 20, Ha Noi",PTY-00590,['PTY-00591'],2026-06-30,True
CUS-00060,CONG TY TNHH MOCK HOA CHAT 060,MOCK-TAX-0718-00060,C201,VSIC-2025,2017-01-07,"So 160 Duong Mock 1, Ha Noi",PTY-00600,['PTY-00601'],2026-06-30,True
CUS-00061,CONG TY TNHH MOCK SAN XUAT THUC PHAM 061,MOCK-TAX-0718-00061,C101,VSIC-2025,2018-02-08,"So 161 Duong Mock 2, Ha Noi",PTY-00610,['PTY-00611'],2026-06-30,True
CUS-00062,CONG TY TNHH MOCK MAY MAC 062,MOCK-TAX-0718-00062,C141,VSIC-2025,2019-03-09,"So 162 Duong Mock 3, Ha Noi",PTY-00620,['PTY-00621'],2026-06-30,True
CUS-00063,CONG TY TNHH MOCK CHE BIEN GO 063,MOCK-TAX-0718-00063,C162,VSIC-2025,2020-04-10,"So 163 Duong Mock 4, Ha Noi",PTY-00630,['PTY-00631'],2026-06-30,True
CUS-00064,CONG TY TNHH MOCK XAY DUNG 064,MOCK-TAX-0718-00064,F410,VSIC-2025,2021-05-11,"So 164 Duong Mock 5, Ha Noi",PTY-00640,['PTY-00641'],2026-06-30,True
CUS-00065,CONG TY TNHH MOCK BAN BUON 065,MOCK-TAX-0718-00065,G461,VSIC-2025,2022-06-12,"So 165 Duong Mock 6, Ha Noi",PTY-00650,['PTY-00651'],2026-06-30,True
CUS-00066,CONG TY TNHH MOCK BAN LE 066,MOCK-TAX-0718-00066,G471,VSIC-2025,2012-07-13,"So 166 Duong Mock 7, Ha Noi",PTY-00660,['PTY-00661'],2026-06-30,True
CUS-00067,CONG TY TNHH MOCK VAN TAI 067,MOCK-TAX-0718-00067,H493,VSIC-2025,2013-08-14,"So 167 Duong Mock 8, Ha Noi",PTY-00670,['PTY-00671'],2026-06-30,True
CUS-00068,CONG TY TNHH MOCK LUU TRU 068,MOCK-TAX-0718-00068,I551,VSIC-2025,2014-09-15,"So 168 Duong Mock 9, Ha Noi",PTY-00680,['PTY-00681'],2026-06-30,True
CUS-00069,CONG TY TNHH MOCK LAP TRINH 069,MOCK-TAX-0718-00069,J620,VSIC-2025,2015-10-16,"So 169 Duong Mock 10, Ha Noi",PTY-00690,['PTY-00691'],2026-06-30,True
CUS-00070,CONG TY TNHH MOCK TU VAN 070,MOCK-TAX-0718-00070,M702,VSIC-2025,2016-11-17,"So 170 Duong Mock 11, Ha Noi",PTY-00700,['PTY-00701'],2026-06-30,True
CUS-00071,CONG TY TNHH MOCK CUNG UNG LAO DONG 071,MOCK-TAX-0718-00071,N782,VSIC-2025,2017-12-18,"So 171 Duong Mock 12, Ha Noi",PTY-00710,['PTY-00711'],2026-06-30,True
CUS-00072,CONG TY TNHH MOCK HOA CHAT 072,MOCK-TAX-0718-00072,C201,VSIC-2025,2018-01-19,"So 172 Duong Mock 13, Ha Noi",PTY-00720,['PTY-00721'],2026-06-30,True
CUS-00073,CONG TY TNHH MOCK SAN XUAT THUC PHAM 073,MOCK-TAX-0718-00073,C101,VSIC-2025,2019-02-20,"So 173 Duong Mock 14, Ha Noi",PTY-00730,['PTY-00731'],2026-06-30,True
CUS-00074,CONG TY TNHH MOCK MAY MAC 074,MOCK-TAX-0718-00074,C141,VSIC-2025,2020-03-21,"So 174 Duong Mock 15, Ha Noi",PTY-00740,['PTY-00741'],2026-06-30,True
CUS-00075,CONG TY TNHH MOCK CHE BIEN GO 075,MOCK-TAX-0718-00075,C162,VSIC-2025,2021-04-22,"So 175 Duong Mock 16, Ha Noi",PTY-00750,['PTY-00751'],2026-06-30,True
CUS-00076,CONG TY TNHH MOCK XAY DUNG 076,MOCK-TAX-0718-00076,F410,VSIC-2025,2022-05-23,"So 176 Duong Mock 17, Ha Noi",PTY-00760,['PTY-00761'],2026-06-30,True
CUS-00077,CONG TY TNHH MOCK BAN BUON 077,MOCK-TAX-0718-00077,G461,VSIC-2025,2012-06-24,"So 177 Duong Mock 18, Ha Noi",PTY-00770,['PTY-00771'],2026-06-30,True
CUS-00078,CONG TY TNHH MOCK BAN LE 078,MOCK-TAX-0718-00078,G471,VSIC-2025,2013-07-25,"So 178 Duong Mock 19, Ha Noi",PTY-00780,['PTY-00781'],2026-06-30,True
CUS-00079,CONG TY TNHH MOCK VAN TAI 079,MOCK-TAX-0718-00079,H493,VSIC-2025,2014-08-26,"So 179 Duong Mock 20, Ha Noi",PTY-00790,['PTY-00791'],2026-06-30,True
CUS-00080,CONG TY TNHH MOCK LUU TRU 080,MOCK-TAX-0718-00080,I551,VSIC-2025,2015-09-27,"So 180 Duong Mock 1, Ha Noi",PTY-00800,['PTY-00801'],2026-06-30,True
CUS-00081,CONG TY TNHH MOCK LAP TRINH 081,MOCK-TAX-0718-00081,J620,VSIC-2025,2016-10-01,"So 181 Duong Mock 2, Ha Noi",PTY-00810,['PTY-00811'],2026-06-30,True
CUS-00082,CONG TY TNHH MOCK TU VAN 082,MOCK-TAX-0718-00082,M702,VSIC-2025,2017-11-02,"So 182 Duong Mock 3, Ha Noi",PTY-00820,['PTY-00821'],2026-06-30,True
CUS-00083,CONG TY TNHH MOCK CUNG UNG LAO DONG 083,MOCK-TAX-0718-00083,N782,VSIC-2025,2018-12-03,"So 183 Duong Mock 4, Ha Noi",PTY-00830,['PTY-00831'],2026-06-30,True
CUS-00084,CONG TY TNHH MOCK HOA CHAT 084,MOCK-TAX-0718-00084,C201,VSIC-2025,2019-01-04,"So 184 Duong Mock 5, Ha Noi",PTY-00840,['PTY-00841'],2026-06-30,True
CUS-00085,CONG TY TNHH MOCK SAN XUAT THUC PHAM 085,MOCK-TAX-0718-00085,C101,VSIC-2025,2020-02-05,"So 185 Duong Mock 6, Ha Noi",PTY-00850,['PTY-00851'],2026-06-30,True
CUS-00086,CONG TY TNHH MOCK MAY MAC 086,MOCK-TAX-0718-00086,C141,VSIC-2025,2021-03-06,"So 186 Duong Mock 7, Ha Noi",PTY-00860,['PTY-00861'],2026-06-30,True
CUS-00087,CONG TY TNHH MOCK CHE BIEN GO 087,MOCK-TAX-0718-00087,C162,VSIC-2025,2022-04-07,"So 187 Duong Mock 8, Ha Noi",PTY-00870,['PTY-00871'],2026-06-30,True
CUS-00088,CONG TY TNHH MOCK XAY DUNG 088,MOCK-TAX-0718-00088,F410,VSIC-2025,2012-05-08,"So 188 Duong Mock 9, Ha Noi",PTY-00880,['PTY-00881'],2026-06-30,True
CUS-00089,CONG TY TNHH MOCK BAN BUON 089,MOCK-TAX-0718-00089,G461,VSIC-2025,2013-06-09,"So 189 Duong Mock 10, Ha Noi",PTY-00890,['PTY-00891'],2026-06-30,True
CUS-00090,CONG TY TNHH MOCK BAN LE 090,MOCK-TAX-0718-00090,G471,VSIC-2025,2014-07-10,"So 190 Duong Mock 11, Ha Noi",PTY-00900,['PTY-00901'],2026-06-30,True
CUS-00091,CONG TY TNHH MOCK VAN TAI 091,MOCK-TAX-0718-00091,H493,VSIC-2025,2015-08-11,"So 191 Duong Mock 12, Ha Noi",PTY-00910,['PTY-00911'],2026-06-30,True
CUS-00092,CONG TY TNHH MOCK LUU TRU 092,MOCK-TAX-0718-00092,I551,VSIC-2025,2016-09-12,"So 192 Duong Mock 13, Ha Noi",PTY-00920,['PTY-00921'],2026-06-30,True
CUS-00093,CONG TY TNHH MOCK LAP TRINH 093,MOCK-TAX-0718-00093,J620,VSIC-2025,2017-10-13,"So 193 Duong Mock 14, Ha Noi",PTY-00930,['PTY-00931'],2026-06-30,True
CUS-00094,CONG TY TNHH MOCK TU VAN 094,MOCK-TAX-0718-00094,M702,VSIC-2025,2018-11-14,"So 194 Duong Mock 15, Ha Noi",PTY-00940,['PTY-00941'],2026-06-30,True
CUS-00095,CONG TY TNHH MOCK CUNG UNG LAO DONG 095,MOCK-TAX-0718-00095,N782,VSIC-2025,2019-12-15,"So 195 Duong Mock 16, Ha Noi",PTY-00950,['PTY-00951'],2026-06-30,True
CUS-00096,CONG TY TNHH MOCK HOA CHAT 096,MOCK-TAX-0718-00096,C201,VSIC-2025,2020-01-16,"So 196 Duong Mock 17, Ha Noi",PTY-00960,['PTY-00961'],2026-06-30,True
CUS-00097,CONG TY TNHH MOCK SAN XUAT THUC PHAM 097,MOCK-TAX-0718-00097,C101,VSIC-2025,2021-02-17,"So 197 Duong Mock 18, Ha Noi",PTY-00970,['PTY-00971'],2026-06-30,True
CUS-00098,CONG TY TNHH MOCK MAY MAC 098,MOCK-TAX-0718-00098,C141,VSIC-2025,2022-03-18,"So 198 Duong Mock 19, Ha Noi",PTY-00980,['PTY-00981'],2026-06-30,True
CUS-00099,CONG TY TNHH MOCK CHE BIEN GO 099,MOCK-TAX-0718-00099,C162,VSIC-2025,2012-04-19,"So 199 Duong Mock 20, Ha Noi",PTY-00990,['PTY-00991'],2026-06-30,True
CUS-00100,CONG TY TNHH MOCK XAY DUNG 100,MOCK-TAX-0718-00100,F410,VSIC-2025,2013-05-20,"So 200 Duong Mock 1, Ha Noi",PTY-01000,['PTY-01001'],2026-06-30,True
CUS-00101,CONG TY TNHH MOCK BAN BUON 101,MOCK-TAX-0718-00101,G461,VSIC-2025,2014-06-21,"So 201 Duong Mock 2, Ha Noi",PTY-01010,['PTY-01011'],2026-06-30,True
CUS-00102,CONG TY TNHH MOCK BAN LE 102,MOCK-TAX-0718-00102,G471,VSIC-2025,2015-07-22,"So 202 Duong Mock 3, Ha Noi",PTY-01020,['PTY-01021'],2026-06-30,True
CUS-00103,CONG TY TNHH MOCK VAN TAI 103,MOCK-TAX-0718-00103,H493,VSIC-2025,2016-08-23,"So 203 Duong Mock 4, Ha Noi",PTY-01030,['PTY-01031'],2026-06-30,True
CUS-00104,CONG TY TNHH MOCK LUU TRU 104,MOCK-TAX-0718-00104,I551,VSIC-2025,2017-09-24,"So 204 Duong Mock 5, Ha Noi",PTY-01040,['PTY-01041'],2026-06-30,True
CUS-00105,CONG TY TNHH MOCK LAP TRINH 105,MOCK-TAX-0718-00105,J620,VSIC-2025,2018-10-25,"So 205 Duong Mock 6, Ha Noi",PTY-01050,['PTY-01051'],2026-06-30,True
CUS-00106,CONG TY TNHH MOCK TU VAN 106,MOCK-TAX-0718-00106,M702,VSIC-2025,2019-11-26,"So 206 Duong Mock 7, Ha Noi",PTY-01060,['PTY-01061'],2026-06-30,True
CUS-00107,CONG TY TNHH MOCK CUNG UNG LAO DONG 107,MOCK-TAX-0718-00107,N782,VSIC-2025,2020-12-27,"So 207 Duong Mock 8, Ha Noi",PTY-01070,['PTY-01071'],2026-06-30,True
CUS-00108,CONG TY TNHH MOCK HOA CHAT 108,MOCK-TAX-0718-00108,C201,VSIC-2025,2021-01-01,"So 208 Duong Mock 9, Ha Noi",PTY-01080,['PTY-01081'],2026-06-30,True
CUS-00109,CONG TY TNHH MOCK SAN XUAT THUC PHAM 109,MOCK-TAX-0718-00109,C101,VSIC-2025,2022-02-02,"So 209 Duong Mock 10, Ha Noi",PTY-01090,['PTY-01091'],2026-06-30,True
CUS-00110,CONG TY TNHH MOCK MAY MAC 110,MOCK-TAX-0718-00110,C141,VSIC-2025,2012-03-03,"So 210 Duong Mock 11, Ha Noi",PTY-01100,['PTY-01101'],2026-06-30,True
CUS-00111,CONG TY TNHH MOCK CHE BIEN GO 111,MOCK-TAX-0718-00111,C162,VSIC-2025,2013-04-04,"So 211 Duong Mock 12, Ha Noi",PTY-01110,['PTY-01111'],2026-06-30,True
CUS-00112,CONG TY TNHH MOCK XAY DUNG 112,MOCK-TAX-0718-00112,F410,VSIC-2025,2014-05-05,"So 212 Duong Mock 13, Ha Noi",PTY-01120,['PTY-01121'],2026-06-30,True
CUS-00113,CONG TY TNHH MOCK BAN BUON 113,MOCK-TAX-0718-00113,G461,VSIC-2025,2015-06-06,"So 213 Duong Mock 14, Ha Noi",PTY-01130,['PTY-01131'],2026-06-30,True
CUS-00114,CONG TY TNHH MOCK BAN LE 114,MOCK-TAX-0718-00114,G471,VSIC-2025,2016-07-07,"So 214 Duong Mock 15, Ha Noi",PTY-01140,['PTY-01141'],2026-06-30,True
CUS-00115,CONG TY TNHH MOCK VAN TAI 115,MOCK-TAX-0718-00115,H493,VSIC-2025,2017-08-08,"So 215 Duong Mock 16, Ha Noi",PTY-01150,['PTY-01151'],2026-06-30,True
CUS-00116,CONG TY TNHH MOCK LUU TRU 116,MOCK-TAX-0718-00116,I551,VSIC-2025,2018-09-09,"So 216 Duong Mock 17, Ha Noi",PTY-01160,['PTY-01161'],2026-06-30,True
CUS-00117,CONG TY TNHH MOCK LAP TRINH 117,MOCK-TAX-0718-00117,J620,VSIC-2025,2019-10-10,"So 217 Duong Mock 18, Ha Noi",PTY-01170,['PTY-01171'],2026-06-30,True
CUS-00118,CONG TY TNHH MOCK TU VAN 118,MOCK-TAX-0718-00118,M702,VSIC-2025,2020-11-11,"So 218 Duong Mock 19, Ha Noi",PTY-01180,['PTY-01181'],2026-06-30,True
CUS-00119,CONG TY TNHH MOCK CUNG UNG LAO DONG 119,MOCK-TAX-0718-00119,N782,VSIC-2025,2021-12-12,"So 219 Duong Mock 20, Ha Noi",PTY-01190,['PTY-01191'],2026-06-30,True
CUS-00120,CONG TY TNHH MOCK HOA CHAT 120,MOCK-TAX-0718-00120,C201,VSIC-2025,2022-01-13,"So 220 Duong Mock 1, Ha Noi",PTY-01200,['PTY-01201'],2026-06-30,True
